"Source File","Source Field(s)","Target Table","Target Column","Final Value / Transformation","Validation / Skip Rule","Notes"
"users.csv","N/A","pending_user","id","DEFAULT","Row skipped before SQL generation if BANK_EMAIL, DIGESTED_PASSWORD, or MOBILE is missing","Uses database sequence in the active sequence-backed service"
"users.csv","N/A","pending_user","created_date_time","CURRENT_TIMESTAMP","Same as row rule","Generated by service"
"users.csv","N/A","pending_user","updated_date_time","CURRENT_TIMESTAMP","Same as row rule","Generated by service"
"users.csv","BANK_EMAIL","pending_user","bank_email","Trim, blank becomes NULL, SQL quoted","Required; row skipped if missing","Also used as fallback for email"
"users.csv","CIF","pending_user","cif","Trim, blank becomes NULL, SQL quoted","If duplicated within input users.csv, row skipped","Duplicate check ignores blank values"
"users.csv","N/A","pending_user","city","NULL","Same as row rule","Not sourced from CSV"
"users.csv","N/A","pending_user","country","'MALDIVES'","Same as row rule","Constant value"
"users.csv","DIGESTED_PASSWORD or DIGESTED PASSWORD","pending_user","digested_password","Trim, blank becomes NULL, SQL quoted","Required; row skipped if missing","Supports both header spellings"
"users.csv","EMAIL, BANK_EMAIL","pending_user","email","Use EMAIL when present; otherwise BANK_EMAIL; trim and SQL quote","If duplicated within input users.csv, row skipped","Duplicate check is case-insensitive"
"users.csv","N/A","pending_user","email_matched","NULL","Same as row rule","Not sourced from CSV"
"users.csv","N/A","pending_user","email_mismatch_count","0","Same as row rule","Constant value"
"users.csv","N/A","pending_user","first_name","NULL","Same as row rule","Not sourced from CSV"
"users.csv","FULL_NAME","pending_user","full_name","Trim, blank becomes NULL, SQL quoted","Same as row rule",""
"users.csv","ID_EXPIRE","pending_user","id_expire","Remove non-digits, pad to 6 digits, parse as ddMMyy, output yyyy-MM-dd; invalid becomes NULL","Same as row rule",""
"users.csv","ID_TYPE","pending_user","id_type","Trim and SQL quote; NIC maps to NID","Same as row rule","Other values pass through"
"users.csv","IDENTITY_NUMBER","pending_user","identity_number","Trim, blank becomes NULL, SQL quoted","If duplicated within input users.csv, row skipped","Duplicate check is case-insensitive"
"users.csv","N/A","pending_user","last_name","NULL","Same as row rule","Not sourced from CSV"
"users.csv","N/A","pending_user","middle_name","NULL","Same as row rule","Not sourced from CSV"
"users.csv","MOBILE","pending_user","mobile","Trim, blank becomes NULL, SQL quoted","Required; row skipped if missing. If duplicated within input users.csv, row skipped","Duplicate check is exact after trim"
"users.csv","N/A","pending_user","password_reference","NULL","Same as row rule","Not sourced from CSV"
"users.csv","N/A","pending_user","phase","'MIGRATE'","Same as row rule","Constant value"
"users.csv","N/A","pending_user","preferred_language","NULL","Same as row rule","Not sourced from CSV"
"users.csv","N/A","pending_user","status","'IN_PROGRESS'","Same as row rule","Constant value"
"users.csv","STREET1","pending_user","street1","Trim, blank becomes NULL, SQL quoted","Same as row rule",""
"users.csv","STREET2","pending_user","street2","Trim, blank becomes NULL, SQL quoted","Same as row rule",""
"users.csv","STREET3","pending_user","street3","Trim, blank becomes NULL, SQL quoted","Same as row rule",""
